epoch,step,train/loss,val/acc,val/loss
0,49,0.28734737634658813,,
0,99,0.2850379943847656,,
0,149,0.21907398104667664,,
0,199,0.6671218276023865,,
0,249,0.3833398222923279,,
0,299,0.30950701236724854,,
0,349,0.27340054512023926,,
0,399,0.12354287505149841,,
0,449,0.11584171652793884,,
0,499,0.2375936508178711,,
0,549,0.13133402168750763,,
0,599,0.297965943813324,,
0,649,0.16360265016555786,,
0,699,0.1534883677959442,,
0,749,0.21704566478729248,,
0,799,0.27700674533843994,,
0,849,0.1944144070148468,,
0,859,,0.9580000042915344,0.13796007633209229
1,899,0.1453295648097992,,
1,949,0.10677238553762436,,
1,999,0.18872028589248657,,
1,1049,0.08648405969142914,,
1,1099,0.16465981304645538,,
1,1149,0.14505447447299957,,
1,1199,0.09621068835258484,,
1,1249,0.07263645529747009,,
1,1299,0.08078344166278839,,
1,1349,0.07403317838907242,,
1,1399,0.1695031225681305,,
1,1449,0.11483798176050186,,
1,1499,0.06204827129840851,,
1,1549,0.03219905495643616,,
1,1599,0.06921777874231339,,
1,1649,0.0670495480298996,,
1,1699,0.17256346344947815,,
1,1719,,0.9670000076293945,0.10687824338674545
2,1749,0.1334928721189499,,
2,1799,0.06916966289281845,,
2,1849,0.015237994492053986,,
2,1899,0.07959132641553879,,
2,1949,0.08368650078773499,,
2,1999,0.04578906297683716,,
2,2049,0.11147239804267883,,
2,2099,0.02105303667485714,,
2,2149,0.05456763133406639,,
2,2199,0.05603699013590813,,
2,2249,0.025906402617692947,,
2,2299,0.04876972362399101,,
2,2349,0.02083701267838478,,
2,2399,0.015142958611249924,,
2,2449,0.004448403604328632,,
2,2499,0.05718114972114563,,
2,2549,0.051972780376672745,,
2,2579,,0.9739999771118164,0.08802638202905655
3,2599,0.05518004670739174,,
3,2649,0.08843416720628738,,
3,2699,0.018903065472841263,,
3,2749,0.016174964606761932,,
3,2799,0.023335665464401245,,
3,2849,0.14451278746128082,,
3,2899,0.1798456758260727,,
3,2949,0.06457853317260742,,
3,2999,0.011972975917160511,,
3,3049,0.019047748297452927,,
3,3099,0.07379098981618881,,
3,3149,0.047539934515953064,,
3,3199,0.02540215477347374,,
3,3249,0.044159382581710815,,
3,3299,0.029371848329901695,,
3,3349,0.016915572807192802,,
3,3399,0.16655439138412476,,
3,3439,,0.972599983215332,0.09401639550924301
4,3449,0.06181390956044197,,
4,3499,0.0359487384557724,,
4,3549,0.014239130541682243,,
4,3599,0.011709589511156082,,
4,3649,0.023566750809550285,,
4,3699,0.0490056537091732,,
4,3749,0.004275243729352951,,
4,3799,0.018098115921020508,,
4,3849,0.0826910138130188,,
4,3899,0.04129813238978386,,
4,3949,0.0013335964176803827,,
4,3999,0.02581237256526947,,
4,4049,0.09495598822832108,,
4,4099,0.02716030552983284,,
4,4149,0.03573641926050186,,
4,4199,0.06383247673511505,,
4,4249,0.05814877152442932,,
4,4299,0.013987738639116287,,
4,4299,,0.97079998254776,0.09987290948629379
